"","size","flow","sizeNext","age","ageNext","surv","fec"
"178",1,NA,NA,1,NA,0,0
"179",1,NA,1,1,2,1,0
"180",0,NA,13,999,999,1,0
"181",12,NA,12,2,3,1,0
"182",1,NA,NA,2,NA,0,0
"183",4,NA,20,11,12,1,0
"184",15,NA,9,999,999,1,0
"185",1,NA,NA,1,NA,0,0
"186",2,NA,NA,1,NA,0,0
"187",1,NA,NA,1,NA,0,0
"188",20,NA,17,999,999,1,0
"189",23,5,29,8,9,1,1
"190",NA,NA,3,NA,1,NA,NA
"191",25,NA,NA,11,NA,0,0
"192",NA,NA,1,NA,1,NA,NA
"193",NA,NA,1,NA,1,NA,NA
"194",22,1,NA,999,NA,0,1
"195",1,NA,NA,1,NA,0,0
"196",6,NA,3,2,3,1,0
"197",1,NA,NA,2,NA,0,0
"198",5,NA,6,2,3,1,0
"199",4,NA,7,1,2,1,0
"200",1,NA,NA,1,NA,0,0
"201",NA,NA,2,NA,1,NA,NA
"202",2,NA,3,2,3,1,0
"203",6,NA,5,4,5,1,0
"204",17,4,17,7,8,1,1
"205",24,1,32,9,10,1,1
"206",NA,NA,1,NA,1,NA,NA
"207",10,NA,19,4,5,1,0
"208",1,NA,NA,2,NA,0,0
"209",2,NA,1,2,3,1,0
"210",37,13,21,11,12,1,1
"211",1,NA,2,2,3,1,0
