"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",15,1,27,3,4,1,1
"2",6,1,22,2,3,1,1
"3",4,NA,NA,1,NA,0,0
"4",5,NA,NA,1,NA,0,0
"5",4,NA,NA,1,NA,0,0
"6",3,1,1,1,2,1,1
"7",6,3,1,1,2,1,1
"8",5,NA,10,1,2,1,0
"9",55,9,55,11,12,1,1
"10",3,NA,5,2,3,1,0
"11",16,1,17,6,7,1,1
"12",9,NA,21,2,3,1,0
"13",1,NA,NA,1,NA,0,0
"14",2,NA,4,1,2,1,0
"15",2,NA,8,1,2,1,0
"16",3,NA,NA,1,NA,0,0
"17",7,NA,16,3,4,1,0
"18",NA,NA,3,NA,1,NA,NA
"19",14,NA,18,2,3,1,0
"20",36,10,79,2,3,1,1
"21",6,NA,6,3,4,1,0
"22",7,NA,NA,3,NA,0,0
"23",14,1,24,3,4,1,1
"24",8,1,NA,9,NA,0,1
"25",5,NA,5,2,3,1,0
"26",8,1,12,3,4,1,1
"27",6,NA,NA,3,NA,0,0
"28",1,NA,NA,1,NA,0,0
"29",1,NA,7,1,2,1,0
"30",NA,NA,2,NA,1,NA,NA
"31",4,NA,3,2,3,1,0
"32",2,NA,6,1,2,1,0
"33",NA,NA,3,NA,1,NA,NA
"34",6,1,11,3,4,1,1
"35",6,NA,NA,1,NA,0,0
"36",2,NA,5,1,2,1,0
"37",17,6,NA,4,NA,0,1
"38",7,NA,NA,2,NA,0,0
"39",1,NA,5,1,2,1,0
"40",14,2,5,3,4,1,1
"41",NA,NA,2,NA,1,NA,NA
"42",4,NA,6,2,3,1,0
"43",NA,NA,2,NA,1,NA,NA
"44",1,NA,6,1,2,1,0
"45",1,NA,1,1,2,1,0
"46",4,NA,11,1,2,1,0
"47",2,NA,5,1,2,1,0
"48",4,NA,9,2,3,1,0
"49",NA,NA,1,NA,1,NA,NA
"50",NA,NA,2,NA,1,NA,NA
"51",6,1,11,3,4,1,1
"52",NA,NA,3,NA,1,NA,NA
"53",15,7,43,6,7,1,1
"54",1,NA,4,1,2,1,0
"55",3,NA,12,2,3,1,0
"56",NA,NA,3,NA,1,NA,NA
"57",5,NA,14,11,12,1,0
"58",15,1,NA,2,NA,0,1
"59",5,2,NA,2,NA,0,1
"60",9,NA,NA,4,NA,0,0
"61",15,NA,NA,3,NA,0,0
"62",8,NA,NA,2,NA,0,0
"63",1,NA,NA,1,NA,0,0
"64",2,NA,NA,1,NA,0,0
"65",8,NA,NA,2,NA,0,0
"66",5,NA,NA,1,NA,0,0
"67",NA,NA,1,NA,1,NA,NA
"68",11,8,NA,2,NA,0,1
"69",NA,NA,2,NA,1,NA,NA
"70",NA,NA,1,NA,1,NA,NA
"71",38,11,NA,3,NA,0,1
"72",6,NA,NA,1,NA,0,0
"73",5,NA,NA,1,NA,0,0
"74",4,NA,NA,1,NA,0,0
"75",3,NA,NA,1,NA,0,0
"76",4,NA,NA,1,NA,0,0
"77",4,NA,11,2,3,1,0
"78",1,NA,NA,1,NA,0,0
"79",1,NA,NA,1,NA,0,0
"80",26,5,4,9,10,1,1
"81",6,1,NA,3,NA,0,1
"82",1,NA,NA,1,NA,0,0
"83",7,NA,NA,3,NA,0,0
"84",1,NA,6,4,5,1,0
"85",2,NA,9,4,5,1,0
"86",NA,NA,2,NA,1,NA,NA
"87",1,NA,NA,1,NA,0,0
"88",25,4,30,13,14,1,1
"89",NA,NA,1,NA,1,NA,NA
"90",NA,NA,1,NA,1,NA,NA
"91",NA,NA,3,NA,1,NA,NA
"92",16,NA,28,4,5,1,0
"93",2,NA,6,1,2,1,0
"94",7,1,8,6,7,1,1
"95",NA,NA,1,NA,1,NA,NA
"96",36,3,19,13,14,1,1
"97",2,NA,NA,1,NA,0,0
"98",44,2,39,3,4,1,1
"99",10,NA,NA,2,NA,0,0
"100",8,2,NA,2,NA,0,1
"101",3,NA,NA,1,NA,0,0
"102",3,NA,4,2,3,1,0
"103",9,NA,NA,999,NA,0,0
"104",1,NA,2,3,4,1,0
"105",8,1,NA,13,NA,0,1
"106",3,NA,5,3,4,1,0
"107",1,NA,NA,1,NA,0,0
"108",10,1,NA,13,NA,0,1
"109",22,4,8,13,14,1,1
