"","size","flow","sizeNext","age","ageNext","surv","fec"
"110",13,1,NA,13,NA,0,1
"111",64,12,NA,999,NA,0,1
"112",8,3,NA,7,NA,0,1
"113",13,4,NA,6,NA,0,1
"114",5,NA,NA,3,NA,0,0
"115",3,NA,NA,1,NA,0,0
"116",12,5,13,7,8,1,1
"117",2,NA,5,3,4,1,0
"118",15,1,31,13,14,1,1
"119",3,NA,NA,3,NA,0,0
"120",NA,NA,3,NA,1,NA,NA
"121",6,NA,6,7,8,1,0
"122",15,9,NA,3,NA,0,1
"123",11,4,14,3,4,1,1
"124",16,10,6,999,999,1,1
"125",3,NA,11,4,5,1,0
"126",5,NA,4,1,2,1,0
"127",2,NA,2,1,2,1,0
"128",15,4,22,999,999,1,1
"129",7,3,5,4,5,1,1
"130",NA,NA,1,NA,1,NA,NA
"131",19,6,NA,13,NA,0,1
"132",8,1,7,999,999,1,1
"133",NA,NA,1,NA,1,NA,NA
"134",13,NA,15,999,999,1,0
"135",32,7,30,10,11,1,1
"136",1,NA,3,1,2,1,0
"137",7,NA,6,4,5,1,0
"138",11,5,NA,4,NA,0,1
"139",13,3,14,3,4,1,1
"140",3,NA,4,4,5,1,0
"141",1,NA,NA,1,NA,0,0
"142",2,NA,NA,1,NA,0,0
"143",7,1,9,6,7,1,1
"144",15,9,NA,9,NA,0,1
"145",31,6,36,11,12,1,1
"146",9,2,9,6,7,1,1
"147",4,NA,NA,4,NA,0,0
"148",20,8,14,13,14,1,1
"149",1,NA,NA,1,NA,0,0
"150",6,NA,9,4,5,1,0
