"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",4,NA,NA,1,NA,0,0
"2",25,8,14,7,8,1,1
"3",1,NA,NA,1,NA,0,0
"4",2,NA,NA,2,NA,0,0
"5",1,NA,NA,2,NA,0,0
"6",19,5,16,7,8,1,1
"7",79,41,49,6,7,1,1
"8",1,NA,4,1,2,1,0
"9",1,NA,NA,1,NA,0,0
"10",2,NA,NA,1,NA,0,0
"11",9,2,5,2,3,1,1
"12",3,NA,5,1,2,1,0
"13",20,NA,17,3,4,1,0
"14",2,NA,3,1,2,1,0
"15",32,6,27,9,10,1,1
"16",11,NA,9,2,3,1,0
"17",11,8,7,7,8,1,1
"18",41,14,39,7,8,1,1
"19",11,4,14,2,3,1,1
"20",NA,NA,1,NA,1,NA,NA
"21",26,3,11,999,999,1,1
"22",29,9,11,999,999,1,1
"23",29,12,12,999,999,1,1
"24",23,2,16,9,10,1,1
"25",110,28,44,999,999,1,1
"26",26,9,9,7,8,1,1
"27",32,13,12,7,8,1,1
"28",45,9,21,7,8,1,1
"29",27,4,7,7,8,1,1
"30",19,12,4,7,8,1,1
"31",9,2,NA,9,NA,0,1
"32",2,1,NA,9,NA,0,1
"33",95,21,NA,999,NA,0,1
"34",66,36,NA,999,NA,0,1
"35",28,12,NA,999,NA,0,1
"36",34,27,12,999,999,1,1
"37",52,30,5,999,999,1,1
"38",7,NA,6,5,6,1,0
"39",20,4,6,999,999,1,1
"40",11,4,1,9,10,1,1
"41",11,6,8,999,999,1,1
"42",22,10,9,5,6,1,1
"43",31,7,15,999,999,1,1
"44",2,NA,NA,1,NA,0,0
"45",28,15,NA,9,NA,0,1
"46",50,22,NA,9,NA,0,1
"47",29,1,22,6,7,1,1
"48",37,12,18,6,7,1,1
"49",29,10,10,7,8,1,1
"50",14,4,8,7,8,1,1
"51",8,3,1,6,7,1,1
"52",2,NA,NA,1,NA,0,0
"53",18,5,8,7,8,1,1
"54",11,6,9,5,6,1,1
"55",13,4,1,3,4,1,1
"56",7,NA,8,5,6,1,0
"57",10,NA,3,999,999,1,0
"58",9,2,1,999,999,1,1
"59",2,NA,NA,7,NA,0,0
"60",4,2,NA,2,NA,0,1
"61",1,NA,NA,2,NA,0,0
"62",19,6,5,999,999,1,1
"63",26,5,NA,999,NA,0,1
"64",45,NA,NA,7,NA,0,0
"65",NA,NA,1,NA,1,NA,NA
"66",1,NA,4,1,2,1,0
"67",NA,NA,2,NA,1,NA,NA
"68",47,29,6,9,10,1,1
"69",27,6,22,9,10,1,1
"70",4,NA,4,2,3,1,0
"71",10,6,18,999,999,1,1
"72",37,17,32,5,6,1,1
"73",3,NA,2,2,3,1,0
"74",23,7,21,3,4,1,1
"75",27,13,12,999,999,1,1
"76",17,6,18,7,8,1,1
"77",17,9,NA,8,NA,0,1
"78",70,36,22,7,8,1,1
"79",0,NA,3,999,999,1,0
"80",20,8,29,9,10,1,1
"81",10,1,5,6,7,1,1
"82",1,NA,1,1,2,1,0
"83",1,NA,NA,1,NA,0,0
"84",1,NA,1,1,2,1,0
"85",1,NA,NA,1,NA,0,0
"86",1,NA,NA,1,NA,0,0
"87",1,NA,NA,1,NA,0,0
"88",1,NA,NA,1,NA,0,0
"89",3,NA,14,2,3,1,0
"90",19,7,17,7,8,1,1
"91",21,6,18,8,9,1,1
"92",1,NA,NA,1,NA,0,0
"93",1,NA,NA,1,NA,0,0
"94",NA,NA,2,NA,1,NA,NA
"95",NA,NA,1,NA,1,NA,NA
"96",NA,NA,1,NA,1,NA,NA
"97",1,NA,3,1,2,1,0
"98",NA,NA,2,NA,1,NA,NA
"99",6,NA,5,5,6,1,0
"100",34,19,25,999,999,1,1
"101",NA,NA,1,NA,1,NA,NA
"102",NA,NA,1,NA,1,NA,NA
"103",8,NA,5,3,4,1,0
"104",NA,NA,1,NA,1,NA,NA
"105",NA,NA,1,NA,1,NA,NA
"106",NA,NA,2,NA,1,NA,NA
"107",14,3,6,3,4,1,1
"108",NA,NA,1,NA,1,NA,NA
