"","size","flow","sizeNext","age","ageNext","surv","fec"
"109",NA,NA,2,NA,1,NA,NA
"110",1,NA,NA,1,NA,0,0
"111",18,5,12,3,4,1,1
"112",24,4,18,999,999,1,1
"113",1,NA,NA,1,NA,0,0
"114",6,NA,NA,1,NA,0,0
"115",NA,NA,1,NA,1,NA,NA
"116",NA,NA,2,NA,1,NA,NA
"117",NA,NA,3,NA,1,NA,NA
"118",NA,NA,2,NA,1,NA,NA
"119",NA,NA,3,NA,1,NA,NA
"120",NA,NA,1,NA,1,NA,NA
"121",NA,NA,2,NA,1,NA,NA
"122",NA,NA,1,NA,1,NA,NA
"123",NA,NA,1,NA,1,NA,NA
"124",NA,NA,2,NA,1,NA,NA
"125",NA,NA,1,NA,1,NA,NA
"126",NA,NA,1,NA,1,NA,NA
"127",10,2,2,9,10,1,1
"128",NA,NA,2,NA,1,NA,NA
"129",NA,NA,1,NA,1,NA,NA
"130",8,NA,10,5,6,1,0
"131",10,4,11,9,10,1,1
"132",15,12,26,7,8,1,1
"133",3,NA,1,999,999,1,0
"134",NA,NA,1,NA,1,NA,NA
"135",31,12,19,999,999,1,1
"136",4,NA,6,999,999,1,0
"137",30,15,16,9,10,1,1
"138",2,NA,5,3,4,1,0
"139",4,NA,4,2,3,1,0
"140",13,4,NA,999,NA,0,1
"141",13,8,15,5,6,1,1
"142",67,23,61,9,10,1,1
"143",8,3,6,5,6,1,1
"144",NA,NA,1,NA,1,NA,NA
"145",NA,NA,1,NA,1,NA,NA
"146",NA,NA,2,NA,1,NA,NA
"147",NA,NA,1,NA,1,NA,NA
"148",NA,NA,1,NA,1,NA,NA
"149",4,NA,NA,1,NA,0,0
"150",7,1,NA,2,NA,0,1
"151",26,7,30,9,10,1,1
"152",4,NA,10,1,2,1,0
"153",NA,NA,1,NA,1,NA,NA
"154",NA,NA,2,NA,1,NA,NA
"155",NA,NA,2,NA,1,NA,NA
"156",NA,NA,1,NA,1,NA,NA
"157",4,NA,6,2,3,1,0
"158",NA,NA,1,NA,1,NA,NA
"159",18,9,0,9,10,1,1
"160",NA,NA,1,NA,1,NA,NA
"161",NA,NA,1,NA,1,NA,NA
"162",NA,NA,1,NA,1,NA,NA
"163",NA,NA,1,NA,1,NA,NA
"164",1,NA,NA,1,NA,0,0
"165",15,8,10,999,999,1,1
"166",11,2,6,9,10,1,1
"167",1,NA,NA,1,NA,0,0
"168",NA,NA,1,NA,1,NA,NA
"169",NA,NA,2,NA,1,NA,NA
"170",11,7,9,9,10,1,1
"171",17,8,16,9,10,1,1
"172",9,5,NA,9,NA,0,1
"173",3,NA,NA,9,NA,0,0
"174",20,9,16,9,10,1,1
"175",2,NA,4,3,4,1,0
"176",36,10,41,999,999,1,1
"177",19,5,16,3,4,1,1
"178",4,NA,6,2,3,1,0
"179",22,4,26,3,4,1,1
"180",NA,NA,1,NA,1,NA,NA
"181",8,3,NA,9,NA,0,1
"182",17,7,21,9,10,1,1
"183",34,14,55,7,8,1,1
"184",9,4,4,3,4,1,1
"185",13,5,5,3,4,1,1
"186",10,3,5,3,4,1,1
"187",39,19,19,999,999,1,1
"188",28,16,13,9,10,1,1
"189",17,6,9,999,999,1,1
"190",NA,NA,1,NA,1,NA,NA
"191",NA,NA,1,NA,1,NA,NA
"192",NA,NA,1,NA,1,NA,NA
"193",16,7,11,999,999,1,1
"194",7,2,13,999,999,1,1
"195",NA,NA,2,NA,1,NA,NA
"196",1,NA,1,1,2,1,0
"197",NA,NA,1,NA,1,NA,NA
"198",30,11,33,999,999,1,1
"199",27,6,17,9,10,1,1
"200",14,NA,28,999,999,1,0
"201",NA,NA,1,NA,1,NA,NA
"202",NA,NA,1,NA,1,NA,NA
"203",23,1,14,999,999,1,1
"204",17,10,21,6,7,1,1
"205",12,4,14,9,10,1,1
"206",32,15,35,999,999,1,1
"207",13,8,NA,999,NA,0,1
"208",NA,NA,1,NA,1,NA,NA
"209",14,5,NA,999,NA,0,1
"210",NA,NA,2,NA,1,NA,NA
"211",NA,NA,1,NA,1,NA,NA
"212",4,NA,NA,2,NA,0,0
"213",NA,NA,2,NA,1,NA,NA
"214",NA,NA,2,NA,1,NA,NA
"215",3,NA,6,2,3,1,0
"216",23,10,11,5,6,1,1
"217",9,2,9,7,8,1,1
"218",4,1,5,2,3,1,1
"219",NA,NA,1,NA,1,NA,NA
"220",NA,NA,2,NA,1,NA,NA
"221",35,12,35,9,10,1,1
"222",NA,NA,1,NA,1,NA,NA
"223",NA,NA,1,NA,1,NA,NA
"224",NA,NA,1,NA,1,NA,NA
