"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",NA,NA,4,NA,1,NA,NA
"2",1,NA,NA,1,NA,0,0
"3",43,6,25,6,7,1,1
"4",NA,NA,1,NA,1,NA,NA
"5",1,NA,NA,1,NA,0,0
"6",1,NA,NA,1,NA,0,0
"7",1,NA,NA,1,NA,0,0
"8",1,NA,2,1,2,1,0
"9",2,NA,1,1,2,1,0
"10",23,8,19,6,7,1,1
"11",71,26,79,5,6,1,1
"12",1,NA,NA,1,NA,0,0
"13",1,NA,NA,1,NA,0,0
"14",NA,NA,1,NA,1,NA,NA
"15",NA,NA,1,NA,1,NA,NA
"16",1,NA,NA,1,NA,0,0
"17",NA,NA,2,NA,1,NA,NA
"18",50,19,NA,999,NA,0,1
"19",2,NA,9,1,2,1,0
"20",NA,NA,3,NA,1,NA,NA
"21",18,1,20,2,3,1,1
"22",1,NA,NA,1,NA,0,0
"23",1,NA,NA,1,NA,0,0
"24",NA,NA,2,NA,1,NA,NA
"25",100,36,32,8,9,1,1
"26",3,NA,11,1,2,1,0
"27",61,26,NA,4,NA,0,1
"28",14,2,11,6,7,1,1
"29",30,2,NA,999,NA,0,1
"30",1,NA,NA,1,NA,0,0
"31",25,5,41,6,7,1,1
"32",6,NA,11,1,2,1,0
"33",16,NA,26,999,999,1,0
"34",9,2,29,999,999,1,1
"35",18,6,29,999,999,1,1
"36",15,4,23,8,9,1,1
"37",61,9,110,999,999,1,1
"38",15,10,26,6,7,1,1
"39",23,2,32,6,7,1,1
"40",17,8,45,6,7,1,1
"41",10,NA,27,6,7,1,0
"42",36,6,19,6,7,1,1
"43",15,4,9,8,9,1,1
"44",56,15,2,8,9,1,1
"45",62,16,95,999,999,1,1
"46",41,9,66,999,999,1,1
"47",32,14,28,999,999,1,1
"48",4,NA,NA,5,NA,0,0
"49",11,7,34,999,999,1,1
"50",4,NA,NA,1,NA,0,0
"51",47,25,52,999,999,1,1
"52",8,NA,7,4,5,1,0
"53",16,NA,20,999,999,1,0
"54",6,NA,11,8,9,1,0
"55",17,NA,11,999,999,1,0
"56",13,3,22,4,5,1,1
"57",32,14,31,999,999,1,1
"58",NA,NA,2,NA,1,NA,NA
"59",42,13,28,8,9,1,1
"60",45,29,50,8,9,1,1
"61",40,5,29,5,6,1,1
"62",33,5,37,5,6,1,1
"63",25,7,29,6,7,1,1
"64",0,NA,14,6,7,1,0
"65",14,2,NA,8,NA,0,1
"66",14,1,8,5,6,1,1
"67",NA,NA,2,NA,1,NA,NA
"68",13,NA,18,6,7,1,0
"69",10,NA,11,4,5,1,0
"70",12,NA,13,2,3,1,0
"71",10,NA,7,4,5,1,0
"72",13,NA,10,999,999,1,0
"73",18,9,9,999,999,1,1
"74",2,NA,NA,1,NA,0,0
"75",26,1,2,6,7,1,1
"76",1,NA,4,1,2,1,0
"77",1,NA,1,1,2,1,0
"78",7,2,19,999,999,1,1
"79",31,5,NA,999,NA,0,1
"80",12,5,NA,8,NA,0,1
"81",17,4,26,999,999,1,1
"82",37,3,45,6,7,1,1
"83",23,4,NA,6,NA,0,1
"84",NA,NA,1,NA,1,NA,NA
"85",53,18,47,8,9,1,1
"86",30,11,27,8,9,1,1
"87",2,NA,4,1,2,1,0
"88",20,8,10,999,999,1,1
"89",27,14,37,4,5,1,1
"90",3,NA,3,1,2,1,0
"91",12,NA,23,2,3,1,0
"92",18,14,27,999,999,1,1
"93",14,3,17,6,7,1,1
"94",21,2,17,7,8,1,1
"95",9,5,NA,8,NA,0,1
"96",53,19,70,6,7,1,1
"97",11,1,NA,7,NA,0,1
"98",0,NA,0,999,999,1,0
"99",36,9,20,8,9,1,1
"100",10,NA,10,5,6,1,0
"101",NA,NA,1,NA,1,NA,NA
"102",NA,NA,1,NA,1,NA,NA
"103",NA,NA,1,NA,1,NA,NA
"104",NA,NA,1,NA,1,NA,NA
"105",NA,NA,1,NA,1,NA,NA
"106",2,NA,NA,1,NA,0,0
"107",NA,NA,1,NA,1,NA,NA
"108",NA,NA,1,NA,1,NA,NA
"109",2,NA,3,1,2,1,0
"110",11,NA,19,6,7,1,0
"111",19,2,21,7,8,1,1
"112",NA,NA,1,NA,1,NA,NA
"113",NA,NA,1,NA,1,NA,NA
"114",NA,NA,1,NA,1,NA,NA
"115",3,NA,6,4,5,1,0
"116",26,10,34,999,999,1,1
"117",16,NA,8,2,3,1,0
"118",16,4,14,2,3,1,1
"119",NA,NA,1,NA,1,NA,NA
"120",23,5,18,2,3,1,1
"121",16,NA,24,999,999,1,0
"122",NA,NA,1,NA,1,NA,NA
"123",NA,NA,6,NA,1,NA,NA
"124",16,7,NA,6,NA,0,1
"125",7,1,10,8,9,1,1
"126",4,1,8,4,5,1,1
"127",5,3,10,8,9,1,1
"128",23,3,15,6,7,1,1
"129",3,NA,3,999,999,1,0
"130",30,10,31,999,999,1,1
"131",18,6,4,999,999,1,1
"132",20,3,30,8,9,1,1
"133",1,NA,2,2,3,1,0
"134",3,NA,4,1,2,1,0
"135",57,9,13,999,999,1,1
"136",11,NA,13,4,5,1,0
"137",79,31,67,8,9,1,1
"138",5,1,8,4,5,1,1
"139",NA,NA,4,NA,1,NA,NA
"140",2,NA,7,1,2,1,0
"141",27,1,26,8,9,1,1
"142",1,NA,NA,1,NA,0,0
"143",NA,NA,4,NA,1,NA,NA
"144",2,NA,4,1,2,1,0
"145",16,3,18,8,9,1,1
"146",NA,NA,1,NA,1,NA,NA
"147",17,6,15,999,999,1,1
"148",16,1,11,8,9,1,1
"149",NA,NA,1,NA,1,NA,NA
"150",11,1,11,8,9,1,1
"151",17,NA,17,8,9,1,0
"152",11,2,9,8,9,1,1
"153",15,NA,3,8,9,1,0
"154",20,1,20,8,9,1,1
"155",1,NA,2,2,3,1,0
"156",47,2,36,999,999,1,1
"157",13,NA,19,2,3,1,0
"158",2,NA,4,1,2,1,0
"159",24,NA,22,2,3,1,0
"160",10,NA,8,8,9,1,0
"161",18,7,17,8,9,1,1
"162",2,NA,NA,1,NA,0,0
"163",39,5,34,6,7,1,1
"164",8,NA,9,2,3,1,0
"165",10,NA,13,2,3,1,0
"166",10,NA,10,2,3,1,0
"167",4,NA,NA,2,NA,0,0
"168",51,8,39,999,999,1,1
"169",31,1,28,8,9,1,1
"170",33,3,17,999,999,1,1
"171",18,3,16,999,999,1,1
"172",16,5,7,999,999,1,1
"173",NA,NA,1,NA,1,NA,NA
"174",35,9,30,999,999,1,1
"175",23,8,27,8,9,1,1
"176",16,NA,14,999,999,1,0
"177",23,NA,23,999,999,1,0
"178",16,NA,17,5,6,1,0
"179",10,4,12,8,9,1,1
"180",32,7,32,999,999,1,1
"181",12,2,13,999,999,1,1
"182",20,7,14,999,999,1,1
"183",1,NA,4,1,2,1,0
"184",23,5,NA,8,NA,0,1
"185",2,NA,3,1,2,1,0
"186",8,1,NA,8,NA,0,1
"187",18,5,23,4,5,1,1
"188",12,1,9,6,7,1,1
"189",1,NA,4,1,2,1,0
"190",28,13,35,8,9,1,1
