"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",27,5,22,4,5,1,1
"2",22,5,33,3,4,1,1
"3",1,NA,22,2,3,1,0
"4",1,NA,4,2,3,1,0
"5",10,NA,15,2,3,1,0
"6",55,11,66,12,13,1,1
"7",NA,NA,1,NA,1,NA,NA
"8",NA,NA,1,NA,1,NA,NA
"9",NA,NA,1,NA,1,NA,NA
"10",NA,NA,1,NA,1,NA,NA
"11",5,NA,14,3,4,1,0
"12",17,3,32,7,8,1,1
"13",21,3,42,3,4,1,1
"14",NA,NA,1,NA,1,NA,NA
"15",NA,NA,3,NA,1,NA,NA
"16",NA,NA,1,NA,1,NA,NA
"17",4,NA,6,2,3,1,0
"18",8,NA,13,2,3,1,0
"19",16,3,33,4,5,1,1
"20",3,NA,6,1,2,1,0
"21",18,5,8,3,4,1,1
"22",79,10,54,3,4,1,1
"23",6,3,12,4,5,1,1
"24",24,3,34,4,5,1,1
"25",5,NA,5,3,4,1,0
"26",NA,NA,1,NA,1,NA,NA
"27",12,2,4,4,5,1,1
"28",7,1,29,2,3,1,1
"29",2,NA,5,1,2,1,0
"30",NA,NA,1,NA,1,NA,NA
"31",3,NA,4,3,4,1,0
"32",NA,NA,1,NA,1,NA,NA
"33",6,NA,10,2,3,1,0
"34",3,NA,4,1,2,1,0
"35",11,1,12,4,5,1,1
"36",5,NA,17,2,3,1,0
"37",NA,NA,7,NA,1,NA,NA
"38",5,NA,25,2,3,1,0
"39",5,1,NA,4,NA,0,1
"40",2,NA,15,1,2,1,0
"41",NA,NA,1,NA,1,NA,NA
"42",6,2,15,3,4,1,1
"43",2,NA,6,1,2,1,0
"44",NA,NA,1,NA,1,NA,NA
"45",6,NA,10,2,3,1,0
"46",1,NA,3,2,3,1,0
"47",NA,NA,1,NA,1,NA,NA
"48",11,NA,NA,2,NA,0,0
"49",NA,NA,1,NA,1,NA,NA
"50",NA,NA,1,NA,1,NA,NA
"51",5,2,6,2,3,1,1
"52",NA,NA,1,NA,1,NA,NA
"53",9,4,9,3,4,1,1
"54",1,NA,4,1,2,1,0
"55",2,NA,6,1,2,1,0
"56",11,2,5,4,5,1,1
"57",3,NA,9,1,2,1,0
"58",43,19,35,7,8,1,1
"59",4,1,NA,2,NA,0,1
"60",NA,NA,1,NA,1,NA,NA
"61",12,3,38,3,4,1,1
"62",3,NA,3,1,2,1,0
"63",NA,NA,3,NA,1,NA,NA
"64",NA,NA,1,NA,1,NA,NA
"65",NA,NA,1,NA,1,NA,NA
"66",NA,NA,1,NA,1,NA,NA
"67",NA,NA,1,NA,1,NA,NA
"68",NA,NA,1,NA,1,NA,NA
"69",NA,NA,1,NA,1,NA,NA
"70",14,3,NA,12,NA,0,1
"71",1,NA,NA,1,NA,0,0
"72",NA,NA,1,NA,1,NA,NA
"73",2,NA,NA,1,NA,0,0
"74",1,NA,NA,1,NA,0,0
"75",11,2,21,3,4,1,1
"76",4,1,4,10,11,1,1
"77",NA,NA,1,NA,1,NA,NA
"78",6,NA,7,5,6,1,0
"79",9,NA,10,5,6,1,0
"80",2,NA,NA,1,NA,0,0
"81",30,5,23,14,15,1,1
"82",NA,NA,1,NA,1,NA,NA
"83",1,NA,NA,1,NA,0,0
"84",1,NA,NA,1,NA,0,0
"85",3,NA,NA,1,NA,0,0
"86",28,NA,13,5,6,1,0
"87",6,1,NA,2,NA,0,1
"88",8,3,7,7,8,1,1
"89",1,NA,NA,1,NA,0,0
"90",19,2,19,14,15,1,1
"91",39,14,19,4,5,1,1
"92",4,NA,5,3,4,1,0
"93",2,NA,NA,4,NA,0,0
"94",5,NA,NA,4,NA,0,0
"95",8,NA,NA,14,NA,0,0
"96",13,3,29,8,9,1,1
"97",5,NA,NA,4,NA,0,0
"98",31,6,37,14,15,1,1
"99",NA,NA,7,NA,1,NA,NA
"100",3,NA,6,1,2,1,0
"101",6,NA,5,8,9,1,0
"102",14,5,4,4,5,1,1
"103",6,2,NA,999,NA,0,1
"104",11,2,11,5,6,1,1
"105",4,NA,7,2,3,1,0
"106",2,NA,2,2,3,1,0
"107",22,6,21,999,999,1,1
"108",5,NA,7,5,6,1,0
"109",1,NA,NA,1,NA,0,0
"110",7,1,6,999,999,1,1
"111",1,NA,1,1,2,1,0
"112",15,NA,NA,999,NA,0,0
"113",30,7,15,11,12,1,1
"114",3,NA,7,2,3,1,0
"115",6,1,8,5,6,1,1
"116",14,5,19,4,5,1,1
"117",NA,NA,1,NA,1,NA,NA
"118",4,NA,6,5,6,1,0
"119",9,1,9,7,8,1,1
"120",36,1,27,12,13,1,1
"121",9,NA,19,7,8,1,0
"122",14,1,6,14,15,1,1
"123",NA,NA,4,NA,1,NA,NA
"124",NA,NA,1,NA,1,NA,NA
"125",9,NA,NA,5,NA,0,0
