"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",7,NA,15,2,3,1,0
"2",2,NA,6,1,2,1,0
"3",NA,NA,4,NA,1,NA,NA
"4",NA,NA,5,NA,1,NA,NA
"5",NA,NA,4,NA,1,NA,NA
"6",NA,NA,3,NA,1,NA,NA
"7",2,NA,NA,10,NA,0,0
"8",NA,NA,6,NA,1,NA,NA
"9",NA,NA,5,NA,1,NA,NA
"10",42,7,55,10,11,1,1
"11",1,NA,3,1,2,1,0
"12",11,NA,16,5,6,1,0
"13",3,NA,9,1,2,1,0
"14",NA,NA,1,NA,1,NA,NA
"15",NA,NA,2,NA,1,NA,NA
"16",NA,NA,2,NA,1,NA,NA
"17",NA,NA,3,NA,1,NA,NA
"18",2,NA,7,2,3,1,0
"19",6,NA,14,1,2,1,0
"20",1,NA,36,1,2,1,0
"21",3,NA,6,2,3,1,0
"22",3,NA,7,2,3,1,0
"23",6,NA,14,2,3,1,0
"24",6,NA,8,8,9,1,0
"25",5,NA,NA,999,NA,0,0
"26",4,NA,5,1,2,1,0
"27",4,NA,8,2,3,1,0
"28",3,NA,NA,8,NA,0,0
"29",8,1,6,2,3,1,1
"30",NA,NA,1,NA,1,NA,NA
"31",NA,NA,1,NA,1,NA,NA
"32",1,NA,4,1,2,1,0
"33",1,NA,NA,2,NA,0,0
"34",NA,NA,2,NA,1,NA,NA
"35",1,NA,NA,1,NA,0,0
"36",2,NA,6,2,3,1,0
"37",NA,NA,6,NA,1,NA,NA
"38",NA,NA,2,NA,1,NA,NA
"39",14,4,17,3,4,1,1
"40",5,NA,7,1,2,1,0
"41",NA,NA,1,NA,1,NA,NA
"42",5,1,14,2,3,1,1
"43",1,NA,4,1,2,1,0
"44",NA,NA,1,NA,1,NA,NA
"45",NA,NA,1,NA,1,NA,NA
"46",NA,NA,4,NA,1,NA,NA
"47",NA,NA,2,NA,1,NA,NA
"48",1,NA,4,1,2,1,0
"49",4,NA,6,2,3,1,0
"50",17,3,15,5,6,1,1
"51",NA,NA,1,NA,1,NA,NA
"52",1,NA,3,1,2,1,0
"53",9,NA,5,10,11,1,0
"54",15,1,NA,11,NA,0,1
"55",1,NA,NA,2,NA,0,0
"56",5,NA,15,1,2,1,0
"57",2,NA,5,1,2,1,0
"58",9,NA,9,3,4,1,0
"59",4,1,15,2,3,1,1
"60",2,NA,8,1,2,1,0
"61",NA,NA,1,NA,1,NA,NA
"62",NA,NA,2,NA,1,NA,NA
"63",3,NA,8,1,2,1,0
"64",NA,NA,5,NA,1,NA,NA
