"","size","flow","sizeNext","age","ageNext","surv","fec"
"65",26,8,NA,999,NA,0,1
"66",3,NA,11,1,2,1,0
"67",1,NA,NA,1,NA,0,0
"68",1,NA,NA,1,NA,0,0
"69",5,1,NA,6,NA,0,1
"70",2,NA,NA,2,NA,0,0
"71",1,NA,NA,1,NA,0,0
"72",1,NA,NA,1,NA,0,0
"73",7,NA,NA,6,NA,0,0
"74",17,1,NA,999,NA,0,1
"75",1,NA,NA,3,NA,0,0
"76",4,NA,NA,2,NA,0,0
"77",10,1,NA,12,NA,0,1
"78",14,1,NA,3,NA,0,1
"79",4,NA,NA,1,NA,0,0
"80",11,NA,38,2,3,1,0
"81",NA,NA,6,NA,1,NA,NA
"82",NA,NA,5,NA,1,NA,NA
"83",NA,NA,4,NA,1,NA,NA
"84",NA,NA,3,NA,1,NA,NA
"85",NA,NA,4,NA,1,NA,NA
"86",1,NA,4,1,2,1,0
"87",1,NA,NA,1,NA,0,0
"88",1,NA,NA,1,NA,0,0
"89",1,NA,NA,1,NA,0,0
"90",NA,NA,1,NA,1,NA,NA
"91",NA,NA,1,NA,1,NA,NA
"92",14,4,NA,8,NA,0,1
"93",34,7,NA,12,NA,0,1
"94",6,NA,26,8,9,1,0
"95",4,NA,6,2,3,1,0
"96",NA,NA,1,NA,1,NA,NA
"97",1,NA,7,2,3,1,0
"98",2,NA,1,3,4,1,0
"99",6,NA,2,3,4,1,0
"100",NA,NA,1,NA,1,NA,NA
"101",1,NA,NA,2,NA,0,0
"102",20,2,25,12,13,1,1
"103",14,NA,16,3,4,1,0
"104",1,NA,NA,2,NA,0,0
"105",2,NA,NA,1,NA,0,0
"106",NA,NA,2,NA,1,NA,NA
"107",6,1,7,5,6,1,1
"108",24,NA,36,12,13,1,0
"109",NA,NA,2,NA,1,NA,NA
"110",7,NA,44,2,3,1,0
"111",2,NA,10,1,2,1,0
"112",3,NA,8,1,2,1,0
"113",NA,NA,3,NA,1,NA,NA
"114",1,NA,3,1,2,1,0
"115",1,NA,NA,3,NA,0,0
"116",2,NA,NA,3,NA,0,0
"117",4,1,9,999,999,1,1
"118",1,NA,1,2,3,1,0
"119",4,1,8,12,13,1,1
"120",1,NA,3,2,3,1,0
"121",NA,NA,1,NA,1,NA,NA
"122",14,4,10,12,13,1,1
"123",26,4,22,12,13,1,1
"124",9,NA,13,12,13,1,0
"125",65,5,64,999,999,1,1
"126",13,NA,8,6,7,1,0
"127",12,2,13,5,6,1,1
"128",4,NA,5,2,3,1,0
"129",NA,NA,3,NA,1,NA,NA
"130",10,NA,12,6,7,1,0
"131",2,NA,2,2,3,1,0
"132",23,4,15,12,13,1,1
"133",2,NA,3,2,3,1,0
"134",5,NA,6,6,7,1,0
"135",3,NA,15,2,3,1,0
"136",7,NA,11,2,3,1,0
"137",25,6,16,999,999,1,1
"138",6,NA,3,3,4,1,0
"139",NA,NA,5,NA,1,NA,NA
"140",1,NA,NA,2,NA,0,0
"141",6,NA,NA,999,NA,0,0
"142",NA,NA,2,NA,1,NA,NA
"143",1,NA,NA,2,NA,0,0
"144",13,NA,15,999,999,1,0
"145",12,6,7,3,4,1,1
"146",20,3,19,12,13,1,1
"147",9,NA,8,999,999,1,0
"148",17,NA,13,999,999,1,0
"149",29,8,32,9,10,1,1
"150",3,NA,NA,1,NA,0,0
"151",1,NA,NA,1,NA,0,0
"152",1,NA,NA,1,NA,0,0
"153",NA,NA,1,NA,1,NA,NA
"154",3,NA,7,3,4,1,0
"155",6,1,11,3,4,1,1
"156",7,2,13,2,3,1,1
"157",2,NA,NA,1,NA,0,0
"158",3,NA,3,3,4,1,0
"159",NA,NA,1,NA,1,NA,NA
"160",NA,NA,2,NA,1,NA,NA
"161",5,NA,7,5,6,1,0
"162",17,NA,15,8,9,1,0
"163",32,3,31,10,11,1,1
"164",1,NA,NA,1,NA,0,0
"165",19,3,9,5,6,1,1
"166",1,NA,4,3,4,1,0
"167",21,3,20,12,13,1,1
"168",NA,NA,1,NA,1,NA,NA
"169",2,NA,6,3,4,1,0
