"","size","flow","sizeNext","age","ageNext","surv","fec"
"169",9,NA,18,999,999,1,0
"170",9,NA,16,999,999,1,0
"171",8,NA,35,999,999,1,0
"172",16,NA,23,7,8,1,0
"173",11,NA,NA,4,NA,0,0
"174",15,NA,16,999,999,1,0
"175",12,NA,23,999,999,1,0
"176",21,NA,16,4,5,1,0
"177",10,NA,10,7,8,1,0
"178",14,NA,32,999,999,1,0
"179",13,NA,12,999,999,1,0
"180",11,NA,NA,999,NA,0,0
"181",12,NA,20,999,999,1,0
"182",12,NA,NA,3,NA,0,0
"183",NA,NA,1,NA,1,NA,NA
"184",17,NA,23,7,8,1,0
"185",NA,NA,2,NA,1,NA,NA
"186",4,NA,8,7,8,1,0
"187",8,NA,NA,5,NA,0,0
"188",6,NA,18,3,4,1,0
"189",6,NA,12,5,6,1,0
"190",NA,NA,1,NA,1,NA,NA
"191",1,NA,NA,1,NA,0,0
"192",7,NA,NA,1,NA,0,0
"193",13,2,28,7,8,1,1
"194",10,1,NA,1,NA,0,1
