"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",NA,NA,1,NA,1,NA,NA
"2",14,2,7,8,9,1,1
"3",16,9,33,8,9,1,1
"4",49,11,NA,7,NA,0,1
"5",4,NA,2,2,3,1,0
"6",5,1,9,3,4,1,1
"7",5,NA,NA,2,NA,0,0
"8",17,5,NA,4,NA,0,1
"9",3,NA,NA,2,NA,0,0
"10",NA,NA,1,NA,1,NA,NA
"11",27,1,NA,10,NA,0,1
"12",NA,NA,1,NA,1,NA,NA
"13",9,NA,1,3,4,1,0
"14",NA,NA,1,NA,1,NA,NA
"15",NA,NA,2,NA,1,NA,NA
"16",7,NA,6,8,9,1,0
"17",39,3,NA,8,NA,0,1
"18",14,NA,NA,3,NA,0,0
"19",1,NA,NA,1,NA,0,0
"20",11,NA,NA,999,NA,0,0
"21",11,NA,NA,999,NA,0,0
"22",12,1,NA,999,NA,0,1
"23",NA,NA,1,NA,1,NA,NA
"24",NA,NA,1,NA,1,NA,NA
"25",16,NA,NA,10,NA,0,0
"26",44,NA,NA,999,NA,0,0
"27",NA,NA,1,NA,1,NA,NA
"28",NA,NA,1,NA,1,NA,NA
"29",9,NA,NA,8,NA,0,0
"30",12,NA,NA,8,NA,0,0
"31",21,NA,NA,8,NA,0,0
"32",7,NA,NA,8,NA,0,0
"33",NA,NA,1,NA,1,NA,NA
"34",4,NA,NA,8,NA,0,0
"35",NA,NA,1,NA,1,NA,NA
"36",NA,NA,1,NA,1,NA,NA
"37",NA,NA,1,NA,1,NA,NA
"38",NA,NA,1,NA,1,NA,NA
"39",NA,NA,1,NA,1,NA,NA
"40",NA,NA,1,NA,1,NA,NA
"41",NA,NA,1,NA,1,NA,NA
"42",12,NA,NA,999,NA,0,0
"43",NA,NA,1,NA,1,NA,NA
"44",5,NA,NA,999,NA,0,0
"45",6,NA,4,6,7,1,0
"46",6,NA,NA,999,NA,0,0
"47",1,NA,NA,10,NA,0,0
"48",8,2,4,999,999,1,1
"49",NA,NA,3,NA,1,NA,NA
"50",9,1,2,6,7,1,1
"51",NA,NA,1,NA,1,NA,NA
"52",15,1,NA,999,NA,0,1
"53",NA,NA,1,NA,1,NA,NA
"54",NA,NA,1,NA,1,NA,NA
"55",NA,NA,1,NA,1,NA,NA
"56",NA,NA,1,NA,1,NA,NA
"57",NA,NA,1,NA,1,NA,NA
"58",NA,NA,1,NA,1,NA,NA
"59",22,NA,NA,7,NA,0,0
"60",18,6,NA,7,NA,0,1
"61",10,1,NA,8,NA,0,1
"62",8,NA,NA,8,NA,0,0
"63",1,NA,NA,7,NA,0,0
"64",8,NA,NA,8,NA,0,0
"65",9,NA,NA,6,NA,0,0
"66",1,NA,NA,4,NA,0,0
"67",8,1,3,6,7,1,1
"68",NA,NA,1,NA,1,NA,NA
"69",3,NA,NA,999,NA,0,0
"70",1,NA,NA,999,NA,0,0
"71",NA,NA,1,NA,1,NA,NA
"72",5,NA,NA,999,NA,0,0
"73",NA,NA,1,NA,1,NA,NA
"74",1,NA,NA,1,NA,0,0
"75",NA,NA,1,NA,1,NA,NA
"76",4,1,NA,2,NA,0,1
"77",2,NA,11,1,2,1,0
"78",6,NA,NA,10,NA,0,0
"79",NA,NA,2,NA,1,NA,NA
"80",22,3,7,10,11,1,1
"81",4,NA,2,3,4,1,0
"82",18,2,7,999,999,1,1
"83",32,2,NA,6,NA,0,1
"84",2,NA,1,3,4,1,0
"85",21,1,NA,4,NA,0,1
