"","size","flow","sizeNext","age","ageNext","surv","fec"
"86",12,1,NA,999,NA,0,1
"87",18,1,NA,8,NA,0,1
"88",22,3,NA,8,NA,0,1
"89",3,NA,11,999,999,1,0
"90",29,1,76,10,11,1,1
"91",5,NA,NA,7,NA,0,0
"92",NA,NA,1,NA,1,NA,NA
"93",NA,NA,1,NA,1,NA,NA
"94",1,NA,NA,2,NA,0,0
"95",1,NA,NA,2,NA,0,0
"96",NA,NA,2,NA,1,NA,NA
"97",14,3,32,3,4,1,1
"98",NA,NA,1,NA,1,NA,NA
"99",NA,NA,1,NA,1,NA,NA
"100",17,2,11,8,9,1,1
"101",18,5,24,9,10,1,1
"102",NA,NA,1,NA,1,NA,NA
"103",2,NA,NA,1,NA,0,0
"104",1,NA,2,1,2,1,0
"105",1,NA,NA,1,NA,0,0
"106",NA,NA,1,NA,1,NA,NA
"107",NA,NA,1,NA,1,NA,NA
"108",NA,NA,1,NA,1,NA,NA
"109",NA,NA,1,NA,1,NA,NA
"110",3,NA,NA,2,NA,0,0
"111",2,NA,7,1,2,1,0
"112",NA,NA,1,NA,1,NA,NA
"113",5,NA,NA,6,NA,0,0
"114",25,12,25,999,999,1,1
"115",NA,NA,1,NA,1,NA,NA
"116",1,NA,NA,1,NA,0,0
"117",1,NA,NA,1,NA,0,0
"118",5,NA,NA,4,NA,0,0
"119",1,NA,NA,1,NA,0,0
"120",1,NA,NA,1,NA,0,0
"121",2,NA,NA,1,NA,0,0
"122",6,1,0,4,5,1,1
"123",1,NA,NA,1,NA,0,0
"124",NA,NA,1,NA,1,NA,NA
"125",NA,NA,1,NA,1,NA,NA
"126",2,NA,NA,1,NA,0,0
"127",NA,NA,7,NA,1,NA,NA
"128",NA,NA,1,NA,1,NA,NA
"129",NA,NA,1,NA,1,NA,NA
"130",NA,NA,1,NA,1,NA,NA
"131",12,5,12,4,5,1,1
"132",18,1,16,999,999,1,1
"133",1,NA,NA,1,NA,0,0
"134",2,NA,NA,1,NA,0,0
"135",3,NA,1,1,2,1,0
"136",2,NA,NA,1,NA,0,0
"137",3,NA,1,1,2,1,0
"138",NA,NA,1,NA,1,NA,NA
"139",1,NA,1,1,2,1,0
"140",2,NA,NA,1,NA,0,0
"141",1,NA,1,1,2,1,0
"142",1,NA,1,1,2,1,0
"143",2,NA,1,1,2,1,0
"144",NA,NA,1,NA,1,NA,NA
"145",1,NA,1,1,2,1,0
"146",1,NA,NA,1,NA,0,0
"147",2,1,4,10,11,1,1
"148",2,NA,NA,1,NA,0,0
"149",1,NA,NA,1,NA,0,0
"150",10,5,NA,6,NA,0,1
"151",11,1,6,10,11,1,1
"152",26,3,31,8,9,1,1
"153",1,NA,4,999,999,1,0
"154",1,NA,8,1,2,1,0
"155",19,2,31,999,999,1,1
"156",6,NA,NA,999,NA,0,0
"157",NA,NA,3,NA,1,NA,NA
"158",16,4,NA,10,NA,0,1
"159",NA,NA,1,NA,1,NA,NA
"160",5,NA,NA,4,NA,0,0
"161",4,NA,15,3,4,1,0
"162",NA,NA,1,NA,1,NA,NA
"163",NA,NA,1,NA,1,NA,NA
"164",15,1,12,6,7,1,1
"165",61,14,46,10,11,1,1
"166",6,1,4,6,7,1,1
"167",NA,NA,1,NA,1,NA,NA
"168",1,NA,NA,1,NA,0,0
"169",NA,NA,1,NA,1,NA,NA
"170",NA,NA,1,NA,1,NA,NA
"171",NA,NA,1,NA,1,NA,NA
"172",1,NA,2,1,2,1,0
"173",2,NA,4,1,2,1,0
"174",NA,NA,1,NA,1,NA,NA
"175",1,NA,1,1,2,1,0
"176",1,NA,NA,1,NA,0,0
"177",30,3,29,10,11,1,1
"178",10,NA,NA,2,NA,0,0
"179",1,NA,NA,1,NA,0,0
"180",2,NA,NA,1,NA,0,0
"181",2,NA,11,1,2,1,0
"182",NA,NA,1,NA,1,NA,NA
"183",1,NA,NA,1,NA,0,0
"184",6,NA,6,3,4,1,0
"185",1,NA,NA,1,NA,0,0
"186",0,NA,22,10,11,1,0
"187",NA,NA,1,NA,1,NA,NA
"188",1,NA,NA,1,NA,0,0
"189",1,NA,1,1,2,1,0
"190",1,NA,2,1,2,1,0
"191",1,NA,2,1,2,1,0
"192",NA,NA,1,NA,1,NA,NA
"193",10,1,5,999,999,1,1
"194",NA,NA,1,NA,1,NA,NA
"195",6,1,4,10,11,1,1
"196",1,NA,NA,1,NA,0,0
"197",NA,NA,1,NA,1,NA,NA
"198",NA,NA,1,NA,1,NA,NA
"199",2,NA,NA,1,NA,0,0
"200",NA,NA,1,NA,1,NA,NA
"201",NA,NA,1,NA,1,NA,NA
"202",NA,NA,1,NA,1,NA,NA
"203",NA,NA,1,NA,1,NA,NA
"204",9,1,5,10,11,1,1
"205",16,1,17,10,11,1,1
"206",16,NA,16,10,11,1,0
"207",4,NA,NA,4,NA,0,0
"208",41,NA,63,999,999,1,0
"209",16,NA,3,4,5,1,0
"210",6,NA,11,3,4,1,0
"211",NA,NA,1,NA,1,NA,NA
"212",NA,NA,1,NA,1,NA,NA
"213",26,2,27,4,5,1,1
"214",NA,NA,1,NA,1,NA,NA
"215",1,NA,NA,1,NA,0,0
"216",21,1,21,10,11,1,1
"217",NA,NA,1,NA,1,NA,NA
"218",55,NA,NA,8,NA,0,0
"219",NA,NA,1,NA,1,NA,NA
"220",4,NA,NA,4,NA,0,0
"221",5,NA,5,4,5,1,0
"222",5,NA,NA,4,NA,0,0
"223",NA,NA,2,NA,1,NA,NA
"224",NA,NA,1,NA,1,NA,NA
"225",19,4,0,999,999,1,1
"226",13,2,NA,10,NA,0,1
"227",9,1,NA,999,NA,0,1
"228",1,NA,2,1,2,1,0
"229",NA,NA,1,NA,1,NA,NA
"230",NA,NA,1,NA,1,NA,NA
"231",1,NA,NA,1,NA,0,0
"232",1,NA,NA,1,NA,0,0
"233",NA,NA,1,NA,1,NA,NA
"234",11,3,5,999,999,1,1
"235",NA,NA,1,NA,1,NA,NA
"236",NA,NA,1,NA,1,NA,NA
"237",13,1,0,999,999,1,1
"238",2,NA,12,1,2,1,0
"239",1,NA,NA,2,NA,0,0
"240",1,NA,1,1,2,1,0
"241",33,4,NA,999,NA,0,1
"242",17,NA,4,10,11,1,0
"243",28,8,15,999,999,1,1
"244",NA,NA,1,NA,1,NA,NA
"245",NA,NA,2,NA,1,NA,NA
"246",1,NA,NA,1,NA,0,0
"247",1,NA,NA,1,NA,0,0
"248",NA,NA,1,NA,1,NA,NA
"249",14,6,20,999,999,1,1
"250",21,4,23,7,8,1,1
"251",14,NA,25,10,11,1,0
"252",35,5,22,999,999,1,1
"253",NA,NA,1,NA,1,NA,NA
"254",1,NA,6,1,2,1,0
"255",2,NA,NA,1,NA,0,0
"256",1,NA,1,1,2,1,0
"257",2,NA,5,1,2,1,0
"258",NA,NA,4,NA,1,NA,NA
"259",NA,NA,1,NA,1,NA,NA
"260",2,NA,2,1,2,1,0
"261",6,NA,6,3,4,1,0
"262",11,2,17,6,7,1,1
"263",9,1,24,8,9,1,1
"264",5,NA,10,3,4,1,0
"265",1,NA,1,1,2,1,0
"266",2,NA,2,1,2,1,0
"267",35,7,37,10,11,1,1
"268",1,NA,NA,1,NA,0,0
"269",1,NA,1,1,2,1,0
"270",1,NA,NA,1,NA,0,0
