"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",22,10,34,5,6,1,1
"2",33,NA,17,4,5,1,0
"3",22,6,19,3,4,1,1
"4",4,NA,34,3,4,1,0
"5",15,6,15,3,4,1,1
"6",66,8,45,13,14,1,1
"7",1,NA,1,1,2,1,0
"8",1,NA,1,1,2,1,0
"9",1,NA,NA,1,NA,0,0
"10",1,NA,NA,1,NA,0,0
"11",14,3,18,4,5,1,1
"12",32,5,NA,8,NA,0,1
"13",42,9,29,4,5,1,1
"14",1,NA,NA,1,NA,0,0
"15",3,NA,NA,1,NA,0,0
"16",1,NA,NA,1,NA,0,0
"17",6,NA,7,3,4,1,0
"18",13,3,17,3,4,1,1
"19",33,12,28,5,6,1,1
"20",6,2,18,2,3,1,1
"21",8,NA,11,4,5,1,0
"22",54,13,NA,4,NA,0,1
"23",12,4,20,5,6,1,1
"24",34,5,32,5,6,1,1
"25",5,3,3,4,5,1,1
"26",1,NA,3,1,2,1,0
"27",4,NA,3,5,6,1,0
"28",29,6,30,3,4,1,1
"29",5,NA,4,2,3,1,0
"30",1,NA,NA,1,NA,0,0
"31",4,NA,7,4,5,1,0
"32",1,NA,NA,1,NA,0,0
"33",10,NA,15,3,4,1,0
"34",4,NA,3,2,3,1,0
"35",12,6,NA,5,NA,0,1
"36",17,3,27,3,4,1,1
"37",7,NA,10,1,2,1,0
"38",25,7,33,3,4,1,1
"39",15,5,11,2,3,1,1
"40",1,NA,5,1,2,1,0
"41",15,5,17,4,5,1,1
"42",NA,NA,3,NA,1,NA,NA
"43",6,NA,NA,2,NA,0,0
"44",1,NA,2,1,2,1,0
"45",10,1,NA,3,NA,0,1
"46",3,NA,NA,3,NA,0,0
"47",1,NA,1,1,2,1,0
"48",1,NA,2,1,2,1,0
"49",1,NA,1,1,2,1,0
"50",6,1,5,3,4,1,1
"51",1,NA,2,1,2,1,0
"52",9,NA,11,4,5,1,0
"53",4,1,5,2,3,1,1
"54",6,1,5,2,3,1,1
"55",5,NA,9,5,6,1,0
"56",9,3,11,2,3,1,1
"57",35,10,25,8,9,1,1
"58",1,NA,5,1,2,1,0
"59",38,12,NA,4,NA,0,1
"60",3,NA,3,2,3,1,0
"61",3,NA,NA,1,NA,0,0
"62",1,NA,NA,1,NA,0,0
"63",1,NA,NA,1,NA,0,0
"64",1,NA,NA,1,NA,0,0
"65",1,NA,NA,1,NA,0,0
"66",1,NA,NA,1,NA,0,0
"67",1,NA,NA,1,NA,0,0
"68",NA,NA,3,NA,1,NA,NA
"69",1,NA,NA,1,NA,0,0
"70",21,6,NA,4,NA,0,1
"71",4,1,3,11,12,1,1
"72",1,NA,2,1,2,1,0
"73",7,NA,9,6,7,1,0
"74",10,NA,3,6,7,1,0
"75",23,4,22,15,16,1,1
"76",1,NA,2,1,2,1,0
"77",13,5,20,6,7,1,1
"78",7,NA,12,8,9,1,0
"79",19,8,23,15,16,1,1
"80",19,5,20,5,6,1,1
"81",NA,NA,1,NA,1,NA,NA
"82",5,NA,8,4,5,1,0
"83",29,4,21,9,10,1,1
"84",37,2,45,15,16,1,1
"85",7,NA,5,1,2,1,0
"86",6,4,8,2,3,1,1
"87",5,NA,8,9,10,1,0
"88",4,1,3,5,6,1,1
"89",11,4,12,6,7,1,1
"90",7,NA,10,3,4,1,0
"91",2,NA,6,3,4,1,0
"92",21,10,9,999,999,1,1
"93",7,NA,2,6,5,1,0
"94",6,1,9,999,999,1,1
"95",1,NA,3,2,3,1,0
"96",NA,NA,5,NA,1,NA,NA
"97",15,2,24,12,13,1,1
"98",7,NA,13,3,4,1,0
"99",8,NA,10,6,7,1,0
"100",19,5,5,5,6,1,1
"101",1,NA,NA,1,NA,0,0
"102",6,NA,NA,6,NA,0,0
"103",9,4,9,8,9,1,1
"104",27,10,30,13,14,1,1
"105",19,3,13,8,9,1,1
"106",6,2,8,15,16,1,1
"107",4,NA,11,1,2,1,0
"108",NA,NA,1,NA,1,NA,NA
"109",NA,NA,1,NA,1,NA,NA
"110",1,NA,8,1,2,1,0
"111",NA,NA,1,NA,1,NA,NA
